lambda	T(lambda)	1/T	baseline					Derivative Y1		T(lambda)	Derivative Y 2
509.2	60.172	0.016619025460347	0.0166138389151351	5.18654521194581E-6	93				2.43322859387274	60.172	136.02338918483
509.3	60.111	0.0166358902696678	0.01661325953664	2.26307330277904E-5	94				2.4327508344787	60.111	75.3562581920589
509.4	60.1	0.0166389351081531	0.0166126801581449	2.62549500081553E-5	95				2.43227326266196	60.1	-26.1888748184234
509.5	60.136	0.0166289743248636	0.0166121007796499	1.68735452137879E-5	96				2.43179587831207	60.136	-107.907083131524
509.6	60.203	0.0166104679168812	0.0166115214011548	-1.05348427357002E-6	97				2.43131868131868	60.203	-143.575378531057
509.7	60.273	0.0165911768121713	0.0166109420226597	-1.97652104884302E-5	98				2.43084167157151	60.273	-116.366690314799
509.8	60.314	0.016579898531021	0.0166103626441646	-3.04641131436585E-5	99				2.43036484896038	60.314	-32.5027330911989
509.9	60.304	0.0165826479172194	0.0166097832656696	-2.71353484501621E-5	100				2.42988821337517	60.304	75.5549160612931
510	60.242	0.0165997144849109	0.0166092038871745	-9.48940226365436E-6	101				2.42941176470588	60.242	161.65024213069
510.1	60.15	0.0166251039068994	0.0166086245086794	1.64793982199742E-5	102				2.42893550284258	60.15	174.304340113027
510.2	60.076	0.0166455822624675	0.0166080451301844	3.75371322831643E-5	103				2.42845942767542	60.076	103.985472074285
510.3	60.051	0.0166525120314399	0.0166074657516893	4.50462797506324E-5	104				2.42798353909465	60.051	-13.6743101695318
510.4	60.089	0.0166419810614256	0.0166068863731942	3.50946882313116E-5	105				2.4275078369906	60.089	-121.957175786958
510.5	60.167	0.0166204065351439	0.0166063069946992	1.40995404446786E-5	106				2.42703232125367	60.167	-182.998799031371
510.6	60.263	0.0165939299404278	0.0166057276162041	-1.17976757763143E-5	107				2.42655699177438	60.263	-176.749197094405
510.7	60.335	0.0165741277865252	0.0166049893685267	-3.08615820014853E-5	108				2.42608184844331	60.335	-92.6102308313839
510.8	60.351	0.016569733724379	0.0166042408712247	-3.45071468456255E-5	109				2.42560689115114	60.351	32.6538897498445
510.9	60.304	0.0165826479172194	0.0166034923739226	-2.0844456703209E-5	110				2.42513211978861	60.304	152.745492493937
511	60.206	0.0166096402351925	0.0166027438766206	6.89635857192145E-6	111				2.42465753424658	60.206	200.212604519779
511.1	60.114	0.0166350600525668	0.0166019953793185	3.30646732482516E-5	112				2.42418313441597	60.114	154.955289749837
511.2	60.059	0.0166502938776869	0.0166012468820165	4.90469956704459E-5	113				2.42370892018779	60.059	41.1140542372755
511.3	60.075	0.0166458593424886	0.0166004983847145	4.53609577741043E-5	114				2.42323489145316	60.075	-82.299079096065
511.4	60.137	0.0166286978066748	0.0165997498874124	2.89479192623586E-5	115				2.42276104810325	60.137	-162.538934786097
511.5	60.229	0.0166032974148666	0.0165990013901104	4.29602475623611E-6	116				2.42228739002933	60.229	-181.598600484219
511.6	60.309	0.0165812731101494	0.0165982528928083	-1.69797826589137E-5	117				2.42181391712275	60.309	-141.529866343808
511.7	60.363	0.0165664397064427	0.0165975043955063	-3.10646890635778E-5	118				2.42134062927497	60.363	-62.3319983050798
511.8	60.368	0.0165650675854757	0.0165967558982042	-3.16883127284735E-5	119				2.42086752637749	60.368	51.8080806295584
511.9	60.314	0.016579898531021	0.0165960074009022	-1.61088698811852E-5	120				2.42039460832194	60.314	158.62950556898
512	60.218	0.016606330333123	0.0165952589036001	1.10714295228562E-5	121				2.419921875	60.218	217.927283292956
512.1	60.108	0.0166367205696413	0.0165945104062981	4.22101633432287E-5	122				2.41944932630346	60.108	184.134461985439
512.2	60.044	0.0166544534008394	0.0165936304213515	6.08229794878574E-5	123				2.41897696212417	60.044	69.8621783695894
512.3	60.042	0.016655008160954	0.0165927150358853	6.22931250686964E-5	124				2.41850478235409	60.042	-73.0947489911278
512.4	60.113	0.0166353367823932	0.0165917996504191	4.35371319740842E-5	125				2.41803278688525	60.113	-192.844366101644
512.5	60.224	0.0166046758767269	0.0165908842649529	1.37916117740368E-5	126				2.41756097560976	60.224	-246.971226795728
512.6	60.346	0.0165711066185	0.0165899688794866	-1.886226098664E-5	127				2.41708934841982	60.346	-215.245870137152
512.7	60.427	0.0165488937064557	0.0165890534940204	-4.01597875646781E-5	128				2.41661790520772	60.427	-108.187148426148
512.8	60.448	0.0165431445209105	0.0165881381085542	-4.49935876436387E-5	129				2.41614664586583	60.448	38.2191205810646
512.9	60.391	0.0165587587554437	0.0165872227230879	-2.84639676442558E-5	130				2.41567557028661	60.391	194.288507021674
513	60.265	0.0165933792416826	0.0165863073376217	7.07190406084787E-6	131				2.41520467836257	60.265	289.936296610143
513.1	60.118	0.0166339532253235	0.0165853919521555	4.85612731680359E-5	132				2.41473396998636	60.118	268.78778700563
513.2	60.012	0.0166633339998667	0.0165844765666893	7.88574331774226E-5	133				2.41426344505066	60.012	125.396837126641
513.3	60	0.0166666666666667	0.016583561181223	8.31054854436228E-5	134				2.41379310344828	60	-47.861185714219
513.4	60.057	0.016650848360724	0.0165826457957568	6.82025649671597E-5	135				2.41332294507207	60.057	-164.878679338092
513.5	60.155	0.0166237220513673	0.0165817304102906	4.19916410767072E-5	136				2.412852969815	60.155	-221.333834543989
513.6	60.265	0.0165933792416826	0.0165808150248244	1.25642168582012E-5	137				2.41238317757009	60.265	-232.062221791783
513.7	60.373	0.0165636956917828	0.0165797951681282	-1.60994763454964E-5	138				2.41191356823048	60.373	-204.460062954026
513.8	60.457	0.0165406818069041	0.0165787156135865	-3.80338066824117E-5	139				2.41144414168937	60.457	-127.830454237329
513.9	60.493	0.0165308382788091	0.0165776360590447	-4.67977802356134E-5	140				2.41097489784005	60.493	-7.44678014526932
514	60.464	0.0165387668695422	0.016576556504503	-3.77896349607609E-5	141				2.41050583657588	60.464	134.351054075883
514.1	60.367	0.0165653419914854	0.0165754769499612	-1.01349584757937E-5	142				2.41003695779031	60.367	245.321134221079
514.2	60.234	0.0166019191818574	0.0165743973954194	2.75217864379729E-5	143				2.4095682613769	60.234	279.552154963708
514.3	60.105	0.0166375509524998	0.0165733178408777	6.42331116221008E-5	144				2.40909974722924	60.105	216.673054156712
514.4	60.031	0.0166580600023321	0.0165722382863359	8.58217159961996E-5	145				2.40863141524106	60.031	72.5955822437658
514.5	60.037	0.0166563952229459	0.0165711587317942	8.52364911516808E-5	146				2.40816326530612	60.037	-86.5418898305026
514.6	60.112	0.0166356135214267	0.0165700791772524	6.5534344174261E-5	147				2.40769529731831	60.112	-189.157864164586
514.7	60.214	0.0166074334872289	0.0165689996227107	3.84338645182322E-5	148				2.40722751117156	60.214	-226.644967070238
514.8	60.324	0.0165771500563623	0.0165679200681689	9.22998819341894E-6	149				2.40675990675991	60.324	-231.008501695027
514.9	60.43	0.0165480721495946	0.0165668405136271	-1.87683640325564E-5	150				2.40629248397747	60.43	-212.908033171949
515	60.523	0.0165226442839912	0.0165657609590854	-4.31166750941604E-5	151				2.40582524271845	60.523	-147.69401937045
515.1	60.568	0.0165103685114252	0.0165646814045436	-5.43128931184342E-5	152				2.40535818287711	60.568	-10.6907154963954
515.2	60.533	0.0165199147572399	0.0165635238015182	-4.36090442783449E-5	153				2.40489130434783	60.533	168.188682486048
515.3	60.411	0.0165532767211269	0.0165622832719789	-9.00655085196364E-6	154				2.40442460702503	60.411	311.835520984821
515.4	60.242	0.0165997144849109	0.0165610427424396	3.86717424712378E-5	155				2.40395809080326	60.242	344.102712590649
515.5	60.09	0.0166417041105009	0.0165598022129003	8.19018976005795E-5	156				2.40349175557711	60.09	243.418351089498
515.6	60.015	0.0166625010414063	0.016558561683361	1.03939358045268E-4	157				2.40302560124127	60.015	69.7152372881471
515.7	60.025	0.0166597251145356	0.0165573211538218	1.0240396071385E-4	158				2.40255962769052	60.025	-101.972495157448
515.8	60.11	0.016636167027117	0.0165560806242825	8.00864028344776E-5	159				2.4020938348197	60.11	-221.178703470581
515.9	60.231	0.016602746094204	0.0165548400947432	4.79059994607928E-5	160				2.40162822252374	60.231	-271.740227683544
516	60.363	0.0165664397064427	0.0165535995652039	1.28401412387846E-5	161				2.40116279069767	60.363	-273.990377724
516.1	60.486	0.0165327513804847	0.0165523590356646	-1.96076551798735E-5	162				2.40069753923658	60.486	-255.823563761077
516.2	60.601	0.0165013778650517	0.0165511185061253	-4.97406410735965E-5	163				2.40023246803564	60.601	-190.319273688417
516.3	60.663	0.0164845128002242	0.016549877976586	-6.53651763618535E-5	164				2.39976757699012	60.663	-55.9229157385534
516.4	60.653	0.0164872306398694	0.0165486374470468	-6.14068071773353E-5	165				2.39930286599535	60.653	132.387413236496
516.5	60.54	0.0165180046250413	0.0165473969175075	-2.93922924661724E-5	166				2.39883833494676	60.54	310.062995560976
516.6	60.365	0.0165658908307794	0.0165461563879682	1.9734442811243E-5	167				2.39837398373984	60.365	400.641020338858
516.7	60.168	0.0166201303018216	0.0165448634178708	7.52668839507885E-5	168				2.39790981227018	60.168	364.148391041115
516.8	60.027	0.0166591700401486	0.0165434655666572	1.15704473491438E-4	169				2.39744582043344	60.027	205.843442130877
516.9	59.977	0.0166730580055688	0.0165420677154435	1.30990290125258E-4	170				2.39698200812536	59.977	-7.56993583527039
517	60.034	0.0166572275710431	0.0165406698642299	1.16557706813149E-4	171				2.39651837524178	60.034	-184.460717917634
517.1	60.148	0.0166256567134402	0.0165392720130163	8.63847004238701E-5	172				2.39605492167859	60.148	-280.56368571429
517.2	60.294	0.0165853982154112	0.0165378741618027	4.75240536084581E-5	173				2.39559164733179	60.294	-302.25268184032
517.3	60.428	0.0165486198451049	0.0165364763105891	1.2143534515844E-5	174				2.39512855209743	60.428	-290.493384745878
517.4	60.563	0.0165117315852913	0.0165350784593755	-2.33468740841146E-5	175				2.39466563587167	60.563	-276.558443099131
517.5	60.684	0.0164788082525872	0.0165336806081618	-5.48723555746714E-5	176				2.39420289855072	60.684	-210.733601694781
517.6	60.758	0.0164587379439745	0.0165322827569482	-7.35448129737734E-5	177				2.39374034003091	60.758	-72.4203444713367
517.7	60.751	0.0164606343928495	0.0165308849057346	-7.02505128851103E-5	178				2.39327796020861	60.751	126.565323809643
517.8	60.641	0.0164904932306525	0.016529487054521	-3.89938238684641E-5	179				2.3928157589803	60.641	328.942166586074
517.9	60.447	0.0165434182010687	0.0165280892033074	1.53289977613269E-5	180				2.39235373624252	60.447	442.708778369691
518	60.232	0.0166024704476026	0.0165266913520938	7.57790955088419E-5	181				2.39189189189189	60.232	410.379960451944
518.1	60.068	0.0166477991609509	0.0165252935008801	1.22505660070781E-4	182				2.39143022582513	60.068	246.958491041084
518.2	60.004	0.0166655556296247	0.0165238677902067	1.41687839418023E-4	183				2.39096873793902	60.004	25.9861197739794
518.3	60.044	0.0166544534008394	0.0165223167119639	1.32136688875531E-4	184				2.39050742813043	60.044	-162.626560129107
518.4	60.154	0.0166239984040962	0.016520765633721	1.03232770375109E-4	185				2.3900462962963	60.154	-278.723680387304
518.5	60.301	0.016583472910897	0.0165192145554782	6.42583554187649E-5	186				2.38958534233365	60.301	-316.795130347026
518.6	60.446	0.0165436918902822	0.0165176634772354	2.60284130468129E-5	187				2.38912456613961	60.446	-298.463926957176
518.7	60.576	0.0165081880612784	0.0165161123989926	-7.92433771421713E-6	188				2.38866396761134	60.576	-277.952030508513
518.8	60.702	0.0164739217818194	0.0165145613207498	-4.06395389304197E-5	189				2.38820354664611	60.702	-240.037538176075
518.9	60.797	0.016448180008882	0.016513010242507	-6.48302336249719E-5	190				2.38774330314126	60.797	-159.719849071855
519	60.849	0.0164341238146888	0.0165114591642642	-7.73353495753561E-5	191				2.38728323699422	60.849	-13.0248474576841
519.1	60.809	0.0164449341380388	0.0165099080860214	-6.49739479825912E-5	192				2.38682334810248	60.809	213.160307990336
519.2	60.653	0.0164872306398694	0.0165083570077786	-2.1126367909137E-5	193				2.38636363636364	60.653	414.484400000137
519.3	60.428	0.0165486198451049	0.0165068059295357	4.18139155691777E-5	194				2.38590410167533	60.428	483.189160532719
519.4	60.209	0.0166088126359847	0.0165052548512929	1.03557784691719E-4	195				2.38544474393531	60.209	382.110506779624
519.5	60.077	0.0166453051916707	0.0165037037730501	1.41601418620567E-4	196				2.38498556304139	60.077	167.699128329302
519.6	60.055	0.0166514028806927	0.0165021526948073	1.49250185885387E-4	197				2.38452655889146	60.055	-51.2267307505368
519.7	60.124	0.0166322932605948	0.0165005971101693	1.31696150425471E-4	198				2.38406773138349	60.124	-213.641161824177
519.8	60.251	0.0165972349006656	0.0164988973208851	9.83375797804636E-5	199				2.38360908041554	60.251	-290.039170298779
519.9	60.39	0.0165590329524756	0.0164971975316009	6.18354208746993E-5	200				2.38315060588575	60.39	-290.145741646388
520	60.517	0.0165242824330353	0.0164954977423167	2.87846907186806E-5	201				2.38269230769231	60.517	-280.43969330091
520.1	60.647	0.0164888617738717	0.0164937979530325	-4.93617916070416E-6	202				2.38223418573351	60.647	-281.63813785311
520.2	60.775	0.0164541341011929	0.0164920981637482	-3.796406255532E-5	203				2.38177623990773	60.775	-279.562785472343
520.3	60.903	0.0164195524030015	0.016490398374464	-7.08459714625388E-5	204				2.3813184701134	60.903	-221.758662954062
520.4	60.978	0.0163993571451999	0.0164886985851798	-8.93414399799133E-5	205				2.38086087624904	60.978	-61.181651331682
520.5	60.959	0.0164044685772404	0.0164869987958956	-8.25302186551712E-5	206				2.38040345821326	60.959	176.04746731227
520.6	60.817	0.0164427709357581	0.0164852990066114	-4.25280708533024E-5	207				2.37994621590473	60.817	418.916399596441
520.7	60.576	0.0165081880612784	0.0164835992173272	2.45888439512065E-5	208				2.3794891492222	60.576	543.791931315905
520.8	60.32	0.01657824933687	0.016481899428043	9.63499088270509E-5	209				2.37903225806452	60.32	488.161098305285
520.9	60.13	0.0166306336271412	0.0164801996387588	1.50433988382426E-4	210				2.37857554233058	60.13	293.431924939382
521	60.052	0.0166522347299008	0.0164784998494746	1.73734880426199E-4	211				2.37811900191939	60.052	47.078594430991
521.1	60.087	0.0166425349909298	0.0164768000601903	1.65734930739476E-4	212				2.37766263672999	60.087	-151.238024455201
521.2	60.19	0.0166140554909453	0.0164751002709061	1.38955220039205E-4	213				2.37720644666155	60.19	-266.395247619219
